job_id,domain,dataset,family,runner_status,runner_complete,status_payload,windows_requested,windows_run,series_requested,series_run,raw_exists_after_slug_rebind,history_exists_after_slug_rebind,original_paths_are_windows_absolute,exact_model,exact_q9,exact_family_contract,contract_ready,outcome_valid,balanced_analysis_ready,category,detail,local_raw_path,local_history_path
external_v1_chronos_us_births_m_short,Healthcare,us_births/M/short,chronos,ok,1,ok,16,1,16,1,1,1,1,1,1,1,0,0,0,runner_complete_contract_mismatch,completed,build/tsfm-drcr-remote-q9/results/raw_forecasts/external_v1_chronos_us_births_m_short.csv,build/tsfm-drcr-remote-q9/results/raw_forecasts/external_v1_chronos_us_births_m_short_history_context.csv
external_v1_moirai_us_births_m_short,Healthcare,us_births/M/short,moirai,ok,1,ok,16,1,16,1,1,1,1,1,1,1,0,0,0,runner_complete_contract_mismatch,completed,build/tsfm-drcr-remote-q9/results/raw_forecasts/external_v1_moirai_us_births_m_short.csv,build/tsfm-drcr-remote-q9/results/raw_forecasts/external_v1_moirai_us_births_m_short_history_context.csv
external_v1_timesfm_us_births_m_short,Healthcare,us_births/M/short,timesfm,failed_artifact_contract,0,blocked_no_rows,16,0,16,0,0,0,0,1,0,1,0,0,0,timesfm_nonfinite,completed,,
external_v1_chronos_kdd_cup_2018_h_medium,Nature,kdd_cup_2018/H/medium,chronos,failed_artifact_contract,0,missing,16,0,16,0,0,0,0,0,0,1,0,0,0,timeout,timeout_after_14400_seconds,,
external_v1_moirai_kdd_cup_2018_h_medium,Nature,kdd_cup_2018/H/medium,moirai,failed_artifact_contract,0,missing,16,0,16,0,0,0,0,0,0,0,0,0,0,timeout,timeout_after_7200_seconds,,
external_v1_timesfm_kdd_cup_2018_h_medium,Nature,kdd_cup_2018/H/medium,timesfm,failed_artifact_contract,0,missing,16,0,16,0,0,0,0,0,0,1,0,0,0,timeout,timeout_after_7200_seconds,,
external_v1_chronos_temperature_rain_d_short,Nature,temperature_rain/D/short,chronos,ok,1,ok,16,16,16,16,1,1,1,1,1,1,1,0,0,outcome_invalid,Crossing quantiles in external_v1_chronos_temperature_rain_d_short T1 0,build/tsfm-drcr-remote-q9/results/raw_forecasts/external_v1_chronos_temperature_rain_d_short.csv,build/tsfm-drcr-remote-q9/results/raw_forecasts/external_v1_chronos_temperature_rain_d_short_history_context.csv
external_v1_moirai_temperature_rain_d_short,Nature,temperature_rain/D/short,moirai,ok,1,ok,16,16,16,16,1,1,1,1,1,1,1,1,0,strict_valid_unpaired,completed,build/tsfm-drcr-remote-q9/results/raw_forecasts/external_v1_moirai_temperature_rain_d_short.csv,build/tsfm-drcr-remote-q9/results/raw_forecasts/external_v1_moirai_temperature_rain_d_short_history_context.csv
external_v1_timesfm_temperature_rain_d_short,Nature,temperature_rain/D/short,timesfm,ok,1,ok,16,16,16,16,1,1,1,1,0,1,0,0,0,runner_complete_contract_mismatch,completed,build/tsfm-drcr-remote-q9/results/raw_forecasts/external_v1_timesfm_temperature_rain_d_short.csv,build/tsfm-drcr-remote-q9/results/raw_forecasts/external_v1_timesfm_temperature_rain_d_short_history_context.csv
external_v1_chronos_restaurant_d_short,Sales,restaurant/D/short,chronos,ok,1,ok,16,16,16,16,1,1,1,1,1,1,1,1,1,balanced_analysis_ready,completed,build/tsfm-drcr-remote-q9/results/raw_forecasts/external_v1_chronos_restaurant_d_short.csv,build/tsfm-drcr-remote-q9/results/raw_forecasts/external_v1_chronos_restaurant_d_short_history_context.csv
